imdbId,Genre,Poster,Sci-Fi,Sport,Drama,Comedy,Thriller,Horror,Romance,Animation,Biography,Fantasy,Crime,Action,Mystery,Adventure,Family
89869,Mystery|Sci-Fi,image0.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89885,Comedy|Horror|Sci-Fi,image6103.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
89886,Comedy|Romance|Sci-Fi,image1.jpg,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
90068,Sci-Fi,image2.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90094,Comedy|Horror|Sci-Fi,image6113.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
90163,Horror|Sci-Fi,image3.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90192,Action|Sci-Fi,image4.jpg,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90196,Comedy|Fantasy|Horror,image161.jpg,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
90305,Comedy|Romance|Sci-Fi,image5.jpg,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
120667,Action|Adventure|Family,image477.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
90630,Action|Adventure|Sci-Fi,image7.jpg,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
90655,Horror|Mystery,image8.jpg,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
120738,Action|Adventure|Family,image492.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
90837,Comedy|Horror|Sci-Fi,image6114.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
90849,Comedy|Horror,image1554.jpg,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
90917,Horror|Sci-Fi,image10.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120751,Action|Adventure|Family,image496.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
91064,Horror|Sci-Fi,image12.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91083,Horror|Sci-Fi,image13.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91096,Horror|Sci-Fi,image14.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91223,Comedy|Fantasy|Horror,image162.jpg,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
120856,Action|Adventure|Family,image519.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
91276,Horror|Sci-Fi,image16.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
273842,Action|Adventure|Family,image1693.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
91338,Comedy|Horror,image1572.jpg,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
91341,Comedy|Drama|Sci-Fi,image8041.jpg,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
368891,Action|Adventure|Family,image2548.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
373051,Action|Adventure|Family,image2598.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
91474,Crime|Horror|Mystery,image19.jpg,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
91544,Comedy|Horror|Sci-Fi,image6116.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
91630,Comedy|Horror|Sci-Fi,image6117.jpg,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
91631,Horror|Sci-Fi,image20.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
383060,Action|Adventure|Family,image2708.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
